Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,MA 7,MA 21,MA 200
2022-12-14,17590.908203125,17818.181640625,17272.7265625,17454.544921875,17454.544921875,37895329,545.455078125,136.36328125,17110.389508928572,15474.02599516369,22265.7517578125
2022-12-15,17363.63671875,17863.63671875,17363.63671875,17590.908203125,17590.908203125,23326709,500.0,-227.271484375,17207.791852678572,15733.76622953869,22178.531474609375
2022-12-16,17454.544921875,18590.908203125,17227.2734375,18545.455078125,18545.455078125,60922179,1363.634765625,-1090.91015625,17487.012834821428,16000.0,22097.13287109375
2022-12-19,18727.2734375,19318.181640625,18181.818359375,18181.818359375,18181.818359375,55148719,1136.36328125,545.455078125,17629.869977678572,16212.12123325893,22009.370634765626
2022-12-20,18000.0,18272.7265625,17045.455078125,17272.7265625,17272.7265625,50396279,1227.271484375,727.2734375,17603.895926339286,16387.445870535714,21922.832177734374
2022-12-21,17636.36328125,17681.818359375,16454.544921875,17181.818359375,17181.818359375,30565919,1227.2734375,454.544921875,17642.856863839286,16564.935035342263,21834.44056640625
2022-12-22,17363.63671875,17818.181640625,17000.0,17181.818359375,17181.818359375,21279719,818.181640625,181.818359375,17629.869977678572,16785.714285714286,21748.496513671875
2022-12-23,17136.36328125,17181.818359375,16454.544921875,16681.818359375,16681.818359375,30118087,727.2734375,454.544921875,17519.48046875,16958.874488467263,21665.47203125
2022-12-26,16636.36328125,16636.36328125,15545.4541015625,15545.4541015625,15545.4541015625,40506289,1090.9091796875,1090.9091796875,17227.27273995536,17036.796549479168,21583.05943847656
2022-12-27,15545.4541015625,16590.908203125,15545.4541015625,16590.908203125,16590.908203125,26828999,1045.4541015625,-1045.4541015625,16948.0517578125,17119.04757254464,21504.650346679686
2022-12-28,16727.2734375,16818.181640625,16318.181640625,16545.455078125,16545.455078125,17364819,500.0,181.818359375,16714.285574776786,17153.679640997023,21425.839165039062
2022-12-29,16636.36328125,16818.181640625,16227.2724609375,16363.63671875,16363.63671875,19216779,590.9091796875,272.7265625,16584.415597098214,17136.363606770832,21346.99301269531
2022-12-30,16454.544921875,16772.7265625,16272.7275390625,16363.63671875,16363.63671875,16684579,499.9990234375,90.908203125,16467.53250558036,17127.705589657737,21266.22378417969
2023-01-03,16636.36328125,17500.0,16545.455078125,17500.0,17500.0,31691659,954.544921875,-863.63671875,16512.98702566964,17119.04757254464,21189.91259277344
2023-01-04,17681.818359375,18000.0,17545.455078125,17636.36328125,17636.36328125,22523599,454.544921875,45.455078125,16649.3505859375,17093.07352120536,21114.10839355469
2023-01-05,17636.36328125,18181.818359375,17409.091796875,18000.0,18000.0,23894419,772.7265625,-363.63671875,17000.0,17145.021530877977,21040.472026367188
2023-01-06,17909.091796875,18272.7265625,17454.544921875,17636.36328125,17636.36328125,21895609,818.181640625,272.728515625,17149.350725446428,17194.805106026786,20966.416079101564
2023-01-09,18000.0,18272.7265625,17727.2734375,17818.181640625,17818.181640625,17803499,545.453125,181.818359375,17331.168805803572,17225.10811941964,20893.26922363281
2023-01-10,17818.181640625,18272.7265625,17454.544921875,18000.0,18000.0,29998209,818.181640625,-181.818359375,17564.934988839286,17251.082170758928,20822.779711914063
2023-01-11,18181.818359375,18681.818359375,18090.908203125,18363.63671875,18363.63671875,28280229,590.91015625,-181.818359375,17850.649274553572,17320.346214657737,20754.28320800781
2023-01-12,18272.7265625,18409.091796875,18090.908203125,18227.2734375,18227.2734375,25515819,318.18359375,45.453125,17954.545479910714,17365.800827752977,20686.328666992187
2023-01-13,18409.091796875,18500.0,18090.908203125,18136.36328125,18136.36328125,23069969,409.091796875,272.728515625,18025.974051339286,17398.268368675595,20619.31817871094
2023-01-16,18181.818359375,18772.7265625,18136.36328125,18409.091796875,18409.091796875,27380561,636.36328125,-227.2734375,18084.41573660714,17437.2294921875,20551.573432617188
2023-01-17,18590.908203125,19681.818359375,18590.908203125,19681.818359375,19681.818359375,46254669,1090.91015625,-1090.91015625,18376.623604910714,17491.34202938988,20489.66783691406
2023-01-18,20000.0,20045.455078125,19590.908203125,19727.2734375,19727.2734375,29095219,454.546875,272.7265625,18649.351004464286,17564.935128348214,20427.11539550781
2023-01-19,19636.36328125,19863.63671875,18954.544921875,19227.2734375,19227.2734375,50028219,909.091796875,409.08984375,18824.67578125,17658.0087890625,20358.041977539062
2023-01-27,19090.908203125,19590.908203125,18954.544921875,19545.455078125,19545.455078125,29231839,636.36328125,-454.546875,18993.506975446428,17770.562918526786,20293.00701660156
2023-01-30,19727.2734375,20181.818359375,19409.091796875,19772.7265625,19772.7265625,46795429,772.7265625,-45.453125,19214.285993303572,17893.939499627977,20229.632885742187
2023-01-31,19909.091796875,20090.908203125,19727.2734375,20090.908203125,20090.908203125,31240989,363.634765625,-181.81640625,19493.506696428572,18056.27711123512,20172.395122070313
2023-02-01,20181.818359375,20590.908203125,19090.908203125,19181.818359375,19181.818359375,57095939,1500.0,1000.0,19603.89620535714,18229.437313988095,20110.262250976564
2023-02-02,19272.7265625,19727.2734375,19181.818359375,19363.63671875,19363.63671875,28250859,545.455078125,-90.91015625,19558.44168526786,18361.472005208332,20050.08742675781
2023-02-03,19500.0,19590.908203125,19090.908203125,19181.818359375,19181.818359375,23117929,500.0,318.181640625,19480.51953125,18487.013113839286,19991.451059570314
2023-02-06,19181.818359375,19227.2734375,18681.818359375,19227.2734375,19227.2734375,25368529,545.455078125,-45.455078125,19480.51953125,18623.376767113095,19938.461547851562
2023-02-07,19227.2734375,19272.7265625,17909.091796875,17954.544921875,17954.544921875,47715359,1363.634765625,1272.728515625,19253.246651785714,18699.134300595237,19876.835668945314
2023-02-08,17954.544921875,19181.818359375,17954.544921875,18954.544921875,18954.544921875,37193749,1227.2734375,-1000.0,19136.36356026786,18768.398344494046,19820.55943847656
2023-02-09,19090.908203125,19318.181640625,18727.2734375,18727.2734375,18727.2734375,18086859,590.908203125,363.634765625,18941.55859375,18820.34644717262,19762.62237792969
2023-02-10,18818.181640625,18909.091796875,18318.181640625,18636.36328125,18636.36328125,17591199,590.91015625,181.818359375,18863.63643973214,18850.649460565477,19702.657338867186
2023-02-13,18545.455078125,18545.455078125,17954.544921875,18363.63671875,18363.63671875,20725979,590.91015625,181.818359375,18720.779296875,18885.28152901786,19651.99300292969
2023-02-14,18454.544921875,19000.0,18409.091796875,18727.2734375,18727.2734375,19024059,590.908203125,-272.728515625,18655.844308035714,18928.571614583332,19601.57342285156
